"","X","commonname","time","latitude","longitude","region_name","island","site","reef_zone","depth_bin","sitevisitid","date_","obs_year","diver","rep","method","photographer","training_yn","depth","survey_radius_m","hard_coral","soft_coral","ma","cca","ta","sand","tunicate","zoanthid","corallimorph","clam","cyano","sponge","other","other_type","habitat_code","habitat_type","current_strength","visibility","substrate_height_0","substrate_height_20","substrate_height_50","substrate_height_100","substrate_height_150","max_height","urchin_dacor","boring_urchin_dacor","roundid","missionid","min_depth","max_depth","objectid","replicateid","species","taxonname","commonfamilyall","family","scientific_name","trophic","count"
"121755",121755,"Yellow tang","2013-08-03T00:00:00Z",20.26168551,-155.8246959,"Main Hawaiian Islands","Hawaii","HAW-433","Forereef","Mid",5927,"2013-08-03T00:00:00Z",2013,"KCL","A","nSPC",-1,-15,13,7.5,10,0,10,5,65,10,0,0,0,0,0,0,NA,NA,"ROB","Rock/Boulder","None",20,15,15,20,35,15,2,"R","O",83,"HA1304",13.6,13.6,NA,NA,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",0
"121756",121756,"Yellow tang","2013-08-03T00:00:00Z",20.26759828,-155.8473238,"Main Hawaiian Islands","Hawaii","HAW-407","Forereef","Mid",5933,"2013-08-03T00:00:00Z",2013,"JPZ","A","nSPC",0,-15,15,7.5,5,0,10,1,44,40,0,0,0,0,0,0,NA,NA,"ROB","Rock/Boulder","None",15,40,30,20,10,0,1.5,"R","R",83,"HA1304",14.8,15.5,NA,NA,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",0
"121757",121757,"Yellow tang","2013-08-03T00:00:00Z",20.26759828,-155.8473238,"Main Hawaiian Islands","Hawaii","HAW-407","Forereef","Mid",5933,"2013-08-03T00:00:00Z",2013,"MKM","A","nSPC",-1,-15,14,7.5,5,0,0,5,80,10,0,0,0,0,0,0,NA,NA,"ROB","Rock/Boulder","None",13,25,10,30,30,5,1.5,"R","R",83,"HA1304",13.6,14.6,1945236,1845958543,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",1
"121758",121758,"Yellow tang","2013-08-03T00:00:00Z",20.27029943,-155.8421885,"Main Hawaiian Islands","Hawaii","HAW-398","Forereef","Deep",5928,"2013-08-03T00:00:00Z",2013,"AEG","A","nSPC",0,-15,23,7.5,5,0,40,5,50,0,0,0,0,0,0,0,NA,NA,"PAV","Pavement","Slight",20,50,30,10,10,0,1.2,"R","R",83,"HA1304",22.7,24.2,1945107,1845958538,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",2
"121759",121759,"Yellow tang","2013-08-03T00:00:00Z",20.27029943,-155.8421885,"Main Hawaiian Islands","Hawaii","HAW-398","Forereef","Deep",5928,"2013-08-03T00:00:00Z",2013,"KCL","A","nSPC",-1,-15,24,7.5,10,0,5,5,75,5,0,0,0,0,0,0,NA,NA,"PAV","Pavement","Slight",18,20,20,25,20,15,1.6,"R","O",83,"HA1304",23.6,25.8,1944897,1845958532,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",2
"121760",121760,"Yellow tang","2013-08-03T00:00:00Z",20.27029943,-155.8421885,"Main Hawaiian Islands","Hawaii","HAW-398","Forereef","Deep",5928,"2013-08-03T00:00:00Z",2013,"KCL","A","nSPC",-1,-15,24,7.5,10,0,5,5,75,5,0,0,0,0,0,0,NA,NA,"PAV","Pavement","Slight",18,20,20,25,20,15,1.6,"R","O",83,"HA1304",23.6,25.8,1944898,1845958532,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",1
"121761",121761,"Yellow tang","2013-08-03T00:00:00Z",20.27029943,-155.8421885,"Main Hawaiian Islands","Hawaii","HAW-398","Forereef","Deep",5928,"2013-08-03T00:00:00Z",2013,"KCL","A","nSPC",-1,-15,24,7.5,10,0,5,5,75,5,0,0,0,0,0,0,NA,NA,"PAV","Pavement","Slight",18,20,20,25,20,15,1.6,"R","O",83,"HA1304",23.6,25.8,1944899,1845958532,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",3
"121762",121762,"Yellow tang","2013-08-04T00:00:00Z",19.12053332,-155.9201934,"Main Hawaiian Islands","Hawaii","HAW-765","Forereef","Deep",5949,"2013-08-04T00:00:00Z",2013,"AEG","A","nSPC",-1,-15,27,7.5,50,0,20,5,20,5,0,0,0,0,0,0,NA,NA,"AGR","Aggregate Reef","Moderate",25,50,20,20,10,0,1.5,"R","R",83,"HA1304",25.8,28.8,1945584,1845958553,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",4
"121763",121763,"Yellow tang","2013-08-04T00:00:00Z",19.12053332,-155.9201934,"Main Hawaiian Islands","Hawaii","HAW-765","Forereef","Deep",5949,"2013-08-04T00:00:00Z",2013,"MKM","A","nSPC",0,-15,27,7.5,35,0,5,5,45,5,0,0,0,0,5,0,NA,NA,"AGR","Aggregate Reef","Moderate",25,25,40,10,15,10,2,"O","R",83,"HA1304",23.8,28,1945560,1845958552,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",1
"121764",121764,"Yellow tang","2013-08-04T00:00:00Z",19.12053332,-155.9201934,"Main Hawaiian Islands","Hawaii","HAW-765","Forereef","Deep",5949,"2013-08-04T00:00:00Z",2013,"MKM","A","nSPC",0,-15,27,7.5,35,0,5,5,45,5,0,0,0,0,5,0,NA,NA,"AGR","Aggregate Reef","Moderate",25,25,40,10,15,10,2,"O","R",83,"HA1304",23.8,28,1945561,1845958552,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",1
