"","botid","date","press","chl","hbact","pro","syn","picoeuk","cruise"
"4248",3210200119,80720,24.3,0.06,5.248,2.083,0.006,0.005,"321"
"4251",3210200115,80720,44.2,0.08,4.765,2.258,0.005,0.006,"321"
"4254",3210200112,80720,74.6,0.17,4.867,2.875,0.015,0.008,"321"
"4257",3210200109,80720,99.3,0.21,4.262,2.911,0.018,0.008,"321"
"4260",3210200106,80720,124.5,0.12,3.28,0.403,0,0.016,"321"
"4263",3210200103,80720,149.3,0.04,2.035,0.118,0,0.004,"321"
"4265",3210200101,80720,175.6,0.02,1.916,0.045,0,0.002,"321"
"4278",3220200322,90220,4.7,0.07,5.194,2.146,0.008,0.007,"322"
"4281",3220200318,90220,24.6,0.06,5.125,2.103,0.007,0.007,"322"
"4284",3220200315,90220,44.5,0.07,5.293,2.252,0.007,0.007,"322"
"4287",3220200312,90220,74.6,0.12,5.499,2.718,0.01,0.008,"322"
"4290",3220200309,90220,99.9,0.29,4.222,1.51,0.006,0.029,"322"
"4293",3220200306,90220,125.2,0.15,3.01,0.399,0,0.015,"322"
"4296",3220200303,90220,149.7,0.07,2.111,0.152,0,0.008,"322"
"4298",3220200301,90220,174.9,0.04,1.875,0.085,0,0.003,"322"
"4313",3230200122,92620,4.2,0.06,6.747,2.039,0.004,0.004,"323"
"4316",3230200118,92620,23.2,0.06,4.754,1.939,0.005,0.004,"323"
"4317",3230200117,92620,43.3,0.06,4.872,1.981,0.005,0.004,"323"
"4320",3230200114,92620,74,0.19,5.228,2.727,0.021,0.008,"323"
"4323",3230200111,92620,98.7,0.22,3.908,1.783,0.005,0.005,"323"
"4328",3230200106,92620,125,0.13,2.614,0.278,0,0.009,"323"
"4331",3230200103,92620,148.7,0.07,2.372,0.12,0,0.005,"323"
"4333",3230200101,92620,174.8,0.04,1.999,0.071,0,0.003,"323"
"4348",3240200122,111820,4.3,0.11,4.679,2.056,0.029,0.011,"324"
"4351",3240200118,111820,25.6,0.11,4.59,2.066,0.029,0.015,"324"
"4354",3240200115,111820,45,0.14,4.518,2.149,0.033,0.015,"324"
"4357",3240200112,111820,74.2,0.29,4.45,1.1,0.024,0.067,"324"
"4360",3240200109,111820,99.5,0.16,2.982,0.551,0.001,0.016,"324"
"4363",3240200106,111820,124.8,0.08,2.487,0.202,0,0.005,"324"
"4366",3240200103,111820,150.2,0.03,2.211,0.052,0,0.002,"324"
"4368",3240200101,111820,174,0.01,1.861,0.01,0,0.001,"324"
"4383",3250200121,121820,5.5,0.13,3.938,1.937,0.033,0.01,"325"
"4386",3250200118,121820,26,0.13,3.95,1.948,0.031,0.011,"325"
"4389",3250200115,121820,44.9,0.12,3.916,1.906,0.032,0.009,"325"
"4392",3250200112,121820,75.7,0.13,3.911,1.884,0.033,0.007,"325"
"4395",3250200109,121820,101.5,0.22,2.928,0.63,0.001,0.019,"325"
"4398",3250200106,121820,125.4,0.06,2.176,0.097,0,0.003,"325"
"4401",3250200103,121820,148.6,0.02,1.992,0.01,0,0.001,"325"
"4403",3250200101,121820,175,0.01,1.745,0.002,0,0,"325"
"4417",3260200122,11221,4.4,0.07,3.43,1.513,0.014,0.008,"326"
"4420",3260200119,11221,24.8,0.09,3.127,1.635,0.013,0.006,"326"
"4423",3260200116,11221,41.9,0.1,3.275,1.69,0.012,0.006,"326"
"4426",3260200113,11221,75.4,0.14,3.287,1.874,0.013,0.006,"326"
"4429",3260200110,11221,98.9,0.2,3.011,1.645,0.01,0.007,"326"
"4432",3260200107,11221,125,0.16,2.062,0.414,0,0.012,"326"
"4435",3260200104,11221,149.7,0.05,1.718,0.062,0,0.002,"326"
"4438",3260200101,11221,176.1,0.01,1.46,0.007,0,0.001,"326"
"4453",3270200122,21621,4.5,0.07,3.943,1.614,0.02,0.01,"327"
"4456",3270200119,21621,23.9,0.09,4.248,2.256,0.039,0.014,"327"
"4459",3270200116,21621,44.2,0.09,3.414,1.815,0.051,0.015,"327"
"4462",3270200113,21621,74.4,0.11,3.618,2.047,0.059,0.014,"327"
"4465",3270200110,21621,100.6,0.26,3.465,1.582,0.024,0.011,"327"
"4468",3270200107,21621,124.7,0.24,3.19,0.68,0.009,0.011,"327"
"4470",3270200104,21621,152.3,0.08,1.993,0.162,0,0.006,"327"
"4473",3270200101,21621,174.5,0.02,1.784,0.015,0,0.001,"327"
"4488",3280200122,32321,5.4,0.15,3.208,1.79,0.029,0.018,"328"
"4491",3280200119,32321,25.5,0.13,3.251,1.795,0.03,0.019,"328"
"4494",3280200116,32321,43.9,0.14,3.149,1.822,0.034,0.018,"328"
"4497",3280200113,32321,74.2,0.17,3.332,1.716,0.029,0.019,"328"
"4500",3280200110,32321,100.3,0.33,3.075,0.796,0.005,0.044,"328"
"4502",3280200108,32321,124.9,0.23,2.976,0.42,0.003,0.01,"328"
"4506",3280200104,32321,149.4,0.19,3.062,0.341,0.001,0.013,"328"
"4507",3280200103,32321,175,0.06,2.102,0.076,0,0.005,"328"
"4523",3290200122,41321,5.6,0.09,3.859,1.786,0.014,0.016,"329"
"4526",3290200119,41321,25.5,0.1,4.241,1.871,0.015,0.015,"329"
"4529",3290200116,41321,45.1,0.09,4.08,2.265,0.017,0.013,"329"
"4532",3290200113,41321,75,0.13,3.3,2.161,0.016,0.014,"329"
"4534",3290200111,41321,99.7,0.18,3.265,1.587,0.001,0.025,"329"
"4537",3290200108,41321,124.2,0.16,1.942,0.406,0,0.014,"329"
"4541",3290200104,41321,149.5,0.04,1.83,0.039,0,0.003,"329"
"4544",3290200101,41321,173.6,NA,1.497,0.002,0,0.001,"329"
"4559",3300200122,51621,4.5,0.08,4.301,2.006,0.009,0.01,"330"
"4562",3300200119,51621,25.1,0.08,4.151,2.01,0.009,0.012,"330"
"4565",3300200116,51621,44.2,0.08,4.213,1.856,0.011,0.011,"330"
"4568",3300200113,51621,73.5,0.16,3.789,1.84,0.011,0.013,"330"
"4571",3300200110,51621,99.3,0.27,3.877,0.933,0.002,0.051,"330"
"4574",3300200107,51621,123.8,0.21,2.661,0.507,0,0.038,"330"
"4577",3300200104,51621,148.7,0.08,2.012,0.16,0,0.006,"330"
"4580",3300200101,51621,174.1,0.06,1.986,0.112,0,0.005,"330"
"4629",3320200724,71721,5.1,0.05,4.543,1.737,0.007,0.007,"332"
"4634",3320200719,71721,25.4,0.06,4.272,1.761,0.008,0.007,"332"
"4635",3320200718,71721,44.6,0.07,4.251,2.048,0.008,0.008,"332"
"4640",3320200713,71721,75.3,0.13,3.71,1.861,0.01,0.007,"332"
"4643",3320200710,71721,100.8,0.18,3.349,1.354,0.006,0.006,"332"
"4646",3320200707,71721,125.5,0.21,2.758,0.47,0,0.018,"332"
"4647",3320200706,71721,150.2,0.07,1.766,0.132,0,0.005,"332"
"4662",3330200522,102921,6.7,0.08,4.906,2.487,0.013,0.005,"333"
"4663",3330200519,102921,27,0.08,5.173,2.436,0.015,0.004,"333"
"4664",3330200517,102921,46.8,0.1,5.098,2.908,0.018,0.006,"333"
"4665",3330200513,102921,75.7,0.18,4.413,2.311,0.018,0.006,"333"
"4666",3330200510,102921,100.1,0.18,3.557,1.251,0.006,0.007,"333"
"4667",3330200507,102921,124.8,0.17,2.946,0.506,0,0.019,"333"
"4668",3330200504,102921,149.4,0.04,2.246,0.081,0,0.003,"333"
"4669",3330200501,102921,173.8,0.01,1.973,0.017,0,0.001,"333"
"4694",3340201110,120721,5.8,NA,4.012,1.586,0.009,0.01,"334"
"4695",3340201109,120721,25,NA,4.079,1.589,0.009,0.01,"334"
"4696",3340201108,120721,45,NA,4.322,1.472,0.007,0.01,"334"
"4697",3340201107,120721,76.7,NA,4.471,1.082,0.005,0.01,"334"
"4698",3340201106,120721,101,NA,3.509,0.477,0.001,0.014,"334"
"4699",3340201105,120721,125.2,NA,2.659,0.193,0,0.009,"334"
"4700",3340201104,120721,150.1,NA,2.098,0.07,0,0.004,"334"
"4701",3340201103,120721,175.3,NA,1.652,0.013,0,0.003,"334"
"4704",3350200122,32722,4.9,0.08,4.736,2.037,0.011,0.011,"335"
"4707",3350200119,32722,24,0.08,4.043,1.921,0.011,0.009,"335"
"4710",3350200116,32722,44.3,0.08,4.146,2.103,0.012,0.01,"335"
"4713",3350200113,32722,75.5,0.09,4.458,2.416,0.017,0.009,"335"
"4716",3350200110,32722,100,0.19,2.974,2.356,0.01,0.008,"335"
"4719",3350200107,32722,124.8,0.25,2.769,0.963,0,0.022,"335"
"4722",3350200104,32722,148.9,0.16,1.904,0.353,0,0.013,"335"
"4725",3350200101,32722,174.4,0.05,1.616,0.057,0,0.003,"335"
"4737",3360200122,52622,3.7,0.06,4.13,1.444,0.013,0.008,"336"
"4740",3360200119,52622,24,0.07,4.162,1.499,0.011,0.006,"336"
"4743",3360200116,52622,44.7,0.06,5.145,1.397,0.01,0.008,"336"
"4746",3360200113,52622,72.4,0.07,4.93,1.581,0.009,0.009,"336"
"4749",3360200110,52622,99.3,0.11,4.086,1.812,0.015,0.007,"336"
"4752",3360200107,52622,123.2,0.17,3.349,1.486,0.01,0.006,"336"
"4754",3360200104,52622,146.9,0.16,2.357,0.434,0,0.012,"336"
"4757",3360200101,52622,172.7,0.07,2.127,0.101,0,0.004,"336"
"4771",3370200122,70922,4.2,0.16,4.223,1.671,0.008,0.006,"337"
"4774",3370200119,70922,24.6,0.17,3.981,1.65,0.008,0.004,"337"
"4777",3370200116,70922,43,0.15,4.238,1.672,0.007,0.006,"337"
"4780",3370200113,70922,74.7,0.24,3.827,1.695,0.008,0.006,"337"
"4783",3370200110,70922,99,0.29,2.528,0.834,0.003,0.007,"337"
"4786",3370200107,70922,124.5,0.18,2.433,0.418,0.001,0.007,"337"
"4789",3370200104,70922,148.6,0.15,2.156,0.24,0,0.009,"337"
"4791",3370200101,70922,174.3,0.09,1.854,0.138,0,0.005,"337"
"4805",3380200122,73022,4,0.07,5.326,1.397,0.005,0.004,"338"
"4808",3380200119,73022,24.6,0.07,5.858,1.658,0.007,0.003,"338"
"4811",3380200116,73022,43.3,0.09,5.36,1.769,0.009,0.004,"338"
"4814",3380200113,73022,74.6,0.15,4.043,2.354,0.008,0.004,"338"
"4817",3380200110,73022,98.8,0.21,2.828,1.777,0.013,0.005,"338"
"4820",3380200107,73022,123,0.29,2.406,0.852,0.001,0.014,"338"
"4823",3380200104,73022,148.9,0.11,2.259,0.237,0,0.006,"338"
"4826",3380200101,73022,173.4,0.04,1.98,0.064,0,0.002,"338"
"4839",3390200224,90122,3.9,0.1,4.463,1.512,0.012,0.007,"339"
"4844",3390200219,90122,24.3,0.1,4.551,1.55,0.015,0.008,"339"
"4846",3390200217,90122,44.4,0.15,5.123,2.186,0.014,0.009,"339"
"4849",3390200214,90122,74.4,0.17,3.709,2.002,0.017,0.009,"339"
"4852",3390200211,90122,98.9,0.21,2.52,1.219,0.002,0.011,"339"
"4856",3390200207,90122,123.9,0.13,2.007,0.245,0,0.008,"339"
"4859",3390200204,90122,149.2,NA,1.616,0.139,0,0.004,"339"
"4861",3390200202,90122,174.2,0.04,1.49,0.046,0,0.002,"339"
